"gene";"DE_log2_FC";"t.value";"p.value";"adj.p.value"
"IBA57-DT";-1.06580323015706;-3.86205003894843;0.000398383633431859;0.00157988275812697
"IBTK";0.173093102871646;2.09200514757183;0.0427757484964995;0.0782047793539533
"ICA1";-0.11339972348354;-1.24160540149354;0.221552893201924;0.306155582874322
"ICA1-AS1";0.059166178596236;0.283629106189212;0.778145208761936;0.83130969357837
"ICA1L";-0.0968877942660899;-0.478295967020495;0.635021516080854;0.711397401196853
"ICAM1";-0.28248822769436;-1.01741453132083;0.315019475159688;0.408297087017477
"ICAM2";-0.330787575146513;-2.5911065375148;0.0132545873641299;0.0297153760641391
"ICAM3";0.316618789930907;1.99685848733156;0.052617997489523;0.0930784807489768
"ICAM4";-1.15007890145134;-3.23912363525421;0.00240270952921556;0.00704757887256083
"ICAM5";-0.850542811759163;-5.03386772798613;1.04273277967204e-05;7.38409034191182e-05
"ICE1";0.0507204331181586;0.722995920556057;0.473853546426984;0.56618068673953
"ICE2";-0.129960234188611;-1.59480309500715;0.118561875681639;0.183192742512235
"ICMT";0.640874802606171;7.60451971567606;2.59355245549612e-09;8.59526319898797e-08
"ICOS";-0.952186568211055;-4.08790922213428;0.000201741281665835;0.000899255010613867
"ICOSLG";0.8688915834731;5.86417830721978;7.12854148438693e-07;7.87951059714749e-06
"ID1";-1.03226337249649;-4.79390832307861;2.24043111718608e-05;0.000141810967554911
"ID2";-0.500055498217946;-3.99800004836205;0.000264918754900057;0.00113213008980887
"ID2-AS1";-0.506749622142494;-3.55658577651434;0.000977225759157923;0.00333724832790541
"ID3";-0.597386210779438;-3.68617421654052;0.000670174948610439;0.00242654876365763
"ID4";-0.914238203900711;-4.79258966888561;2.24982274353031e-05;0.000142155953263473
"IDE";0.545059953459106;6.883788648488;2.60872987826635e-08;5.3921225688216e-07
"IDH1";0.51290481804736;4.00335744236821;0.000260667621871642;0.00111572547565748
"IDH2";0.677722084849495;7.3061902471791;6.71219279902845e-09;1.86228928671506e-07
"IDH2-DT";1.29046012619227;5.33713242797956;3.93312725291411e-06;3.25625864443683e-05
"IDH3A";0.358708383602403;5.48435665646772;2.44397097845652e-06;2.20283115138599e-05
"IDH3B";-0.124714262194805;-2.00635067865424;0.0515548013255428;0.0914806047463162
"IDH3G";0.0141362013423007;0.190064428830267;0.850211820287827;0.88985026855196
"IDI1";-0.538984133697135;-6.1388296088443;2.91928773815194e-07;3.75602294538325e-06
"IDI2";-0.0513218758037273;-0.388282662984076;0.69984843397095;0.766817880591632
"IDI2-AS1";-0.372052026519266;-2.83057568427259;0.00721090846055136;0.0178609671506
"IDNK";-0.508450764580148;-4.67560114004731;3.25762468581405e-05;0.000193623333770123
"IDO1";-0.878392136986093;-2.16406601835353;0.0364346933267275;0.0684744418830837
"IDO2";-1.23956378471043;-3.8597400757406;0.000401137623002759;0.00158876909220461
"IDS";-0.187841581550328;-2.38887036744079;0.0216649698659361;0.0446100487981659
